	gene	pval	qval	log2fc	mean	zero_mean	zero_variance
0	CR383668.1			0.0	0.0	True	True
1	fgfr1op2	0.017214396857729058	0.08737147217691969	1.3774748382480186	0.03734537944279417	False	False
2	znf1114	0.380078720175146	0.7048257535511844	0.31327227970437155	0.02337607146791388	False	False
3	ENSDARG00000076014	0.21215746880577646	0.49363212513450566	-1069.194834989953	0.029978843832539268	False	False
4	si:dkey-199m13.5			0.0	0.0	True	True
5	si:dkey-199m13.4			0.0	0.0	True	True
6	si:dkey-285e18.5			0.0	0.0	True	True
7	tm7sf3	0.0033276117621804874	0.023192276630615877	1.9609198712677471	0.02000851893289058	False	False
8	zgc:174650	0.6630276929194523	0.7506112052600382	-1065.875069681393	0.0030023819697951827	False	False
9	dyrk2	0.008653271353522162	0.0507732255503952	0.9527292104760173	0.15901781217960337	False	False
10	lhfpl3	3.665265968862758e-07	1.0416536833875213e-05	1.2316597818572828	0.33923069427533403	False	False
11	si:ch211-197e7.1			0.0	0.0	True	True
12	si:dkeyp-82h4.1			0.0	0.0	True	True
13	si:dkeyp-82h4.3	0.6630276929194523	0.7506112052600382	-1066.1053569000292	0.003521999611873154	False	False
14	znf1136	0.5357297802248058	0.7506112052600382	-1067.0476797673834	0.006767943935834167	False	False
15	wnt5b			0.0	0.0	True	True
16	znf1062			0.0	0.0	True	True
17	fbxl14b	0.6485963806727005	0.7506112052600382	-0.8342448518240216	0.0810222071282494	False	False
18	CR749763.5			0.0	0.0	True	True
19	ada2b			0.0	0.0	True	True
20	si:dkey-16p19.5			0.0	0.0	True	True
21	atp6v1e1b	2.0661346839265503e-18	5.882744586179761e-16	1.945554694245089	0.391093785870713	False	False
22	nampta	0.12532076828504313	0.36313735627262306	-1069.7277101661102	0.043373682069884734	False	False
23	zgc:172014			0.0	0.0	True	True
24	zgc:173709	0.6630276929194523	0.7506112052600382	-1066.2375166255192	0.0038598759319577033	False	False
25	cracr2ab			0.0	0.0	True	True
26	si:ch211-73m21.1	0.5357297802248058	0.7506112052600382	-1067.2034173101774	0.007539428453713614	False	False
27	prmt8b	0.8733364701590164	0.9140604648532932	-0.29490987139221714	0.040054244851624524	False	False
28	si:ch211-181p13.2			0.0	0.0	True	True
29	rbm17	1.4522248433571228e-05	0.000259025022814568	2.36301361473612	0.05041295858496092	False	False
30	CR382294.1	0.5357297802248058	0.7506112052600382	-1066.8839281375213	0.006041747903060398	False	False
31	zgc:174944	0.6630276929194523	0.7506112052600382	-1066.2756140213985	0.00396316180986816	False	False
32	braf	0.4977396950354307	0.7506112052600382	0.23289087440715522	0.07934866382629294	False	False
33	kmt2e	2.2590141117159888e-05	0.00037629839618237625	1.2312781166773226	0.21079814532166155	False	False
34	si:dkey-178j11.5			0.0	0.0	True	True
35	med21	0.45152919265937186	0.7343976872038339	-1.3319095172765143	0.04216490346626653	False	False
36	si:dkey-16p19.5-1	0.5357297802248058	0.7506112052600382	-1067.1271503503337	0.00715121411844904	False	False
37	si:dkey-16p6.1			0.0	0.0	True	True
38	znf1135			0.0	0.0	True	True
39	si:dkey-11n14.1	0.6630276929194523	0.7506112052600382	-1066.2844815798653	0.003987596492923091	False	False
40	si:ch211-152l15.2			0.0	0.0	True	True
41	hgfa	0.6630276929194523	0.7506112052600382	-1066.2255381390607	0.0038279606226131586	False	False
42	sypl1			0.0	0.0	True	True
43	atp2b1a	0.6169744833972625	0.7506112052600382	-0.26071698814743216	0.5802465074673928	False	False
44	si:dkey-16p19.5-2	0.6630276929194523	0.7506112052600382	-1066.1817288609277	0.003713466879874672	False	False
45	adipor2	0.001637967755531742	0.012744814899443587	1.5798904199242492	0.07097962245713046	False	False
46	znf1066	0.19569765168031295	0.46511847187893207	2.2395863989805136	0.006951276163745605	False	False
47	si:dkey-47k16.4	0.6630276929194523	0.7506112052600382	-1066.2337501445556	0.003849811997617223	False	False
48	mdm1	0.2824663185193176	0.5943505744128244	0.38954035501537315	0.05044657613862362	False	False
49	BX649620.1	0.9793083590923105	0.9847972482930546	-0.0970870000621064	0.020844106908647447	False	False
50	tspan11			0.0	0.0	True	True
51	znf987			0.0	0.0	True	True
52	pmpcb	0.32862695312856105	0.6561869356300812	0.6433867231194251	0.03671131873265706	False	False
53	si:dkeyp-44d3.1			0.0	0.0	True	True
54	si:dkey-43f9.4	0.4229736735938969	0.7303987389416825	-0.9295957629134468	0.14115452754154129	False	False
55	si:ch73-389k6.1	0.822916450502849	0.8729966484841858	-0.33551187626774615	0.017027018175285374	False	False
56	dnajc2	0.24025262574702866	0.5429873342478043	0.6061251005623299	0.03444837349555129	False	False
57	BX663613.1			0.0	0.0	True	True
58	znf977			0.0	0.0	True	True
59	znf1110			0.0	0.0	True	True
60	ndufb2	0.48062049519533634	0.7506112052600382	-0.8306659824071552	0.1602398523414413	False	False
61	atxn7l1	0.9228391543660948	0.9492642000654784	-0.4010791758101981	0.04633452455591109	False	False
62	si:dkeyp-44d3.3	0.5357297802248058	0.7506112052600382	-1066.9860328841326	0.006484838898213189	False	False
63	znf800b	0.023099183639125612	0.09321520956733761	1068.7740547899818	0.0043250209458979725	False	False
64	znf1058			0.0	0.0	True	True
65	acot14			0.0	0.0	True	True
66	si:ch211-127b6.2			0.0	0.0	True	True
67	si:ch211-214j24.14			0.0	0.0	True	True
68	si:ch211-245n8.4	0.5357297802248058	0.7506112052600382	-1067.0426003826485	0.00674415751908419	False	False
69	cacna2d1a	0.4472178034729756	0.7303987389416825	-1067.7534418180514	0.011038556871284183	False	False
70	kdm7aa	0.6368635215397332	0.7506112052600382	0.24648199847446584	0.013347595764020016	False	False
71	znf1094	0.19569765168031295	0.46511847187893207	1.8458018821337652	0.0069259680949396805	False	False
72	mpped1	0.10695272170726243	0.3193626133713653	0.8259279031738718	0.12914230440460933	False	False
73	snap91b	7.984263707498346e-05	0.00106881319037592	0.7940003007557929	0.5629131558500691	False	False
74	si:ch211-208f21.2	0.5357297802248058	0.7506112052600382	-1067.125264313013	0.007141871434037251	False	False
75	zgc:171673	0.5881254470359192	0.7506112052600382	-1.0027730860879405	0.0363176254854526	False	False
76	ccdc167	0.05673744587933876	0.19415495891271609	1.4008453117777921	0.02151015110630721	False	False
77	znf996			0.0	0.0	True	True
78	si:dkey-19c16.12	0.023099183639125612	0.09321520956733761	1068.313090755933	0.0031421304679129514	False	False
79	si:ch73-158p21.2			0.0	0.0	True	True
80	si:dkey-156j15.1			0.0	0.0	True	True
81	si:dkey-265e15.5			0.0	0.0	True	True
82	znf1049			0.0	0.0	True	True
83	si:dkey-16p6.1-1	0.023099183639125612	0.09321520956733761	1067.3780794322695	0.0016434547812032765	False	False
84	si:ch73-158p21.3	0.5357297802248058	0.7506112052600382	-1067.2500457976132	0.007787086477117365	False	False
85	grm8a	0.8840809489598312	0.9210071104308601	-0.10876260200493212	0.14548008289029732	False	False
86	znf1026	0.6630276929194523	0.7506112052600382	-1066.0658665712606	0.0034269007792841998	False	False
87	znf1145			0.0	0.0	True	True
88	svopl			0.0	0.0	True	True
89	si:dkey-237m9.1			0.0	0.0	True	True
90	msgn1			0.0	0.0	True	True
91	calua	0.06832581639598105	0.22261272029841253	0.910475740114962	0.08105637911906458	False	False
92	sema3c	0.023099183639125612	0.09321520956733761	1067.6226767860073	0.0019471028817125144	False	False
93	acot15			0.0	0.0	True	True
94	mrps33	0.2698216803637008	0.582901269578741	-1.8090393677289076	0.06103021086836221	False	False
95	zgc:123107	0.5357297802248058	0.7506112052600382	-1067.0317592460253	0.006693668462928839	False	False
96	sema3aa	0.9783946620002775	0.9847972482930546	-0.4868252189224048	0.04769705155217925	False	False
97	scube1	0.9744412527524824	0.9847972482930546	0.04570894411865438	0.020239475583057182	False	False
