	gene	pval	qval	log2fc	mean	zero_mean	zero_variance
111	epyc	0.18392315355494082	0.8250972063185716	2.4836657876248944	0.006296712598560278	False	False
112	si:dkey-72l17.5			0.0	0.0	True	True
113	cd36	0.8157065429589296	0.9040865122544365	0.5257382963243938	0.03540785762446898	False	False
114	si:dkeyp-85d8.5	0.02106081028966778	0.3516735380931133	1067.6685609613019	0.001958922460031362	False	False
115	gpr37b	0.545588242392067	0.8250972063185716	-0.6763327201353796	0.036047502961239694	False	False
116	nudt4b	0.4071335735721767	0.8250972063185716	1.1596649611366452	0.009955509239999355	False	False
117	si:dkeyp-38g8.5	0.5419961310840583	0.8250972063185716	-1067.0737708975294	0.006925292578826061	False	False
118	zgc:113119	0.7936442571749948	0.8958232551541411	0.5008338913590651	0.015315451903271248	False	False
119	ube2nb	0.5529116444476122	0.8250972063185716	-0.4488116514088884	0.10670958644364269	False	False
120	si:dkey-22a18.2			0.0	0.0	True	True
121	zgc:153116	0.6679128344611995	0.8250972063185716	-1065.9942235928822	0.003276891076352207	False	False
122	ftr51	0.8025816146708347	0.8958232551541411	-0.16310600437898745	0.026906818956320668	False	False
123	waslb	0.6032905812061997	0.8250972063185716	0.3202328076436909	0.03243949981240252	False	False
124	gpr85	0.3452368309892586	0.8250972063185716	0.2114512757420432	0.7602799512721874	False	False
125	BX950217.1	0.4207697745378197	0.8250972063185716	-1.1500660949084287	0.048589206105213105	False	False
126	zgc:174696	0.6679128344611995	0.8250972063185716	-1066.3202195021943	0.0041076795214631265	False	False
127	acot16			0.0	0.0	True	True
128	znf1060	0.6679128344611995	0.8250972063185716	-1066.093313587093	0.003509870283203442	False	False
129	gcc1	0.02106081028966778	0.3516735380931133	1068.3742309278243	0.003194810275821365	False	False
130	lamtor4	0.9192276064036005	0.9668344556649671	0.03026762236352953	0.022060462361807195	False	False
131	atp6v1f	0.33190029861081005	0.8250972063185716	-1.143252114752405	0.046508769273492206	False	False
132	znf1148	0.6679128344611995	0.8250972063185716	-1065.954523106982	0.003187946089899834	False	False
133	tmem168a	0.6679128344611995	0.8250972063185716	-1066.2184718895091	0.003827960691600016	False	False
134	tnpo3	0.7149473438857692	0.8535069036605095	0.38940810237079304	0.03676502238984625	False	False
135	dnajb9b	0.6679128344611995	0.8250972063185716	-1064.895497255579	0.0015300739497784398	False	False
136	si:dkey-72l17.6			0.0	0.0	True	True
137	mybpc1			0.0	0.0	True	True
138	zgc:174698			0.0	0.0	True	True
139	cnot4b	0.6124930962529301	0.8250972063185716	-0.7375798671091309	0.03673660482020617	False	False
140	samm50l	0.4365099450623737	0.8250972063185716	0.8340435855849418	0.05484142573486467	False	False
141	dennd6b	0.2508348663254304	0.8250972063185716	-1068.8580985553056	0.02385471724944677	False	False
142	lmod2b	0.6679128344611995	0.8250972063185716	-1066.613575126779	0.0050339094045046915	False	False
