	gene	pval	qval	log2fc	mean	zero_mean	zero_variance
0	CR383668.1			0.0	0.0	True	True
1	fgfr1op2	0.0013222239339708403	0.016447567139807176	-2.408496301424947	0.03734538202341365	False	False
2	znf1114	0.15493833390436457	0.4158098990275618	-1.0811019945329277	0.02337607168509473	False	False
3	ENSDARG00000076014	0.23475838893609835	0.5047128059280565	1.6931749510322236	0.02997884249368322	False	False
4	si:dkey-199m13.5			0.0	0.0	True	True
5	si:dkey-199m13.4			0.0	0.0	True	True
6	si:dkey-285e18.5			0.0	0.0	True	True
7	tm7sf3	0.025122512862491748	0.14644187250977547	-1.8347995383209164	0.020008520692055446	False	False
8	zgc:174650	0.49495608967537275	0.6731490383687622	1066.175901880358	0.0030023818439580447	False	False
9	dyrk2	0.0861418554139103	0.32983029505938544	-0.537507748342204	0.15901780079421685	False	False
10	lhfpl3	6.820312030585193e-05	0.001468659628434837	-0.9383195353638228	0.33923072129774157	False	False
11	si:ch211-197e7.1			0.0	0.0	True	True
12	si:dkeyp-82h4.1			0.0	0.0	True	True
13	si:dkeyp-82h4.3	0.49495608967537275	0.6731490383687622	1066.406189172282	0.003521999643172747	False	False
14	znf1136	0.3331090737282921	0.6110178965130626	1067.3485120518694	0.006767944053367332	False	False
15	wnt5b			0.0	0.0	True	True
16	znf1062			0.0	0.0	True	True
17	fbxl14b	0.8071426351950268	0.8835126026002803	0.13422618435645922	0.08102221011256976	False	False
18	CR749763.5			0.0	0.0	True	True
19	ada2b			0.0	0.0	True	True
20	si:dkey-16p19.5			0.0	0.0	True	True
21	atp6v1e1b	4.600430986869852e-14	7.44543436032884e-12	-1.7637296233599413	0.39109374956829557	False	False
22	nampta	0.5987482772905375	0.7268657531260966	0.6198832927945876	0.043373686760991036	False	False
23	zgc:172014			0.0	0.0	True	True
24	zgc:173709	0.49495608967537275	0.6731490383687622	1066.5383488080734	0.0038598757262746654	False	False
25	cracr2ab			0.0	0.0	True	True
26	si:ch211-73m21.1	0.3331090737282921	0.6110178965130626	1067.504249577432	0.007539428494594715	False	False
27	prmt8b	0.7215982124570267	0.8313654939323182	0.7617954234887967	0.04005424208704009	False	False
28	si:ch211-181p13.2			0.0	0.0	True	True
29	rbm17	0.009086563916778801	0.07113336060105603	-1.530576871184355	0.05041296327351216	False	False
30	CR382294.1	0.3331090737282921	0.6110178965130626	1067.184760352262	0.006041747715901609	False	False
31	zgc:174944	0.49495608967537275	0.6731490383687622	1066.5764462871084	0.003963161827114875	False	False
32	braf	0.012496387977749391	0.08765144395889457	-1.1986774980857193	0.07934865895122167	False	False
33	kmt2e	0.00022433932899337415	0.003941962495169289	-1.058799153385441	0.21079815141294556	False	False
34	si:dkey-178j11.5			0.0	0.0	True	True
35	med21	0.1833612498341488	0.45368188223367206	-0.8775057470695112	0.04216490275084728	False	False
36	si:dkey-16p19.5-1	0.3331090737282921	0.6110178965130626	1067.4279825981675	0.007151214060959993	False	False
37	si:dkey-16p6.1			0.0	0.0	True	True
38	znf1135			0.0	0.0	True	True
39	si:dkey-11n14.1	0.1453694273865248	0.4013494435991696	-1067.6753240383084	0.003987596584905568	False	False
40	si:ch211-152l15.2			0.0	0.0	True	True
41	hgfa	0.49495608967537275	0.6731490383687622	1066.5263704042702	0.0038279606379435713	False	False
42	sypl1			0.0	0.0	True	True
43	atp2b1a	0.6680260628342384	0.7912866499288456	-0.0386440498016785	0.5802464225982279	False	False
44	si:dkey-16p19.5-2	0.49495608967537275	0.6731490383687622	1066.4825610612966	0.003713466727848079	False	False
45	adipor2	0.0061580109538251614	0.05364272998020502	-1.431660646171873	0.07097961597236586	False	False
46	znf1066	0.039140298357411965	0.19226264768217538	-1068.477082319055	0.0069512755946040325	False	False
